Seq,PolysomeType,Mean_t_nuc,SE_t_nuc
1,0,0.26312280116861600,0.058836046984318600
1,1,0.3407322273010410,0.07619004223700380
1,2,0.25146296312543315,0.05622882793719915
1,3,0.11246041006834500,0.025146912169032100

4,0,0.7009918319719950,0.1567465387961490
4,1,0.44215702617102900,0.09886931672475730
4,2,0.3274405383353366,0.07321793023069384
4,3,0.20696782797132900,0.0462794132499373

2,0,0.10121686947824600,0.022632780062308300
2,1,0.09590765127521250,0.02144560278137200
2,2,0.09297382897149525,0.020789580170870275
2,3,0.0693698949824971,0.01551158007728850

3,0,0.11561093515585900,0.025851390995082200
3,1,0.11169361560260000,0.02497545171401460
3,2,0.09959159859976661,0.022269358445695102
3,3,0.10214202367061200,0.02283965082868810

5,0,0.15962660443407200,0.03569359385320550
5,1,0.16980330055009200,0.037969172283383200
5,2,0.10054175695949323,0.02248182031386894
5,3,0.05536756126021000,0.012380563072621400